ifs,decile,model_size,seed_idx,adv_training_round,model_idx
,5,6650740736,3,0,8
,6,6650740736,3,0,8
,7,6650740736,3,0,8
,8,6650740736,3,0,8
,9,6650740736,3,0,8
,10,6650740736,3,0,8
0.0,0,7629056,4,0,0
2.0,1,7629056,4,0,0
13.0,2,7629056,4,0,0
71.0,3,7629056,4,0,0
191.0,4,7629056,4,0,0
378.0,5,7629056,4,0,0
677.0,6,7629056,4,0,0
1216.0,7,7629056,4,0,0
,8,7629056,4,0,0
,9,7629056,4,0,0
,10,7629056,4,0,0
0.0,0,17617408,4,0,1
1.0,1,17617408,4,0,1
2.0,2,17617408,4,0,1
4.0,3,17617408,4,0,1
11.0,4,17617408,4,0,1
24.0,5,17617408,4,0,1
77.0,6,17617408,4,0,1
249.0,7,17617408,4,0,1
621.0,8,17617408,4,0,1
,9,17617408,4,0,1
,10,17617408,4,0,1
0.0,0,44672000,4,0,2
1.0,1,44672000,4,0,2
3.0,2,44672000,4,0,2
5.0,3,44672000,4,0,2
7.0,4,44672000,4,0,2
18.0,5,44672000,4,0,2
41.0,6,44672000,4,0,2
110.0,7,44672000,4,0,2
347.0,8,44672000,4,0,2
,9,44672000,4,0,2
,10,44672000,4,0,2
0.0,0,353824768,4,0,4
1.0,1,353824768,4,0,4
1.0,2,353824768,4,0,4
1.0,3,353824768,4,0,4
3.0,4,353824768,4,0,4
6.0,5,353824768,4,0,4
103.0,6,353824768,4,0,4
,7,353824768,4,0,4
,8,353824768,4,0,4
,9,353824768,4,0,4
,10,353824768,4,0,4
0.0,0,908763136,4,0,5
1.0,1,908763136,4,0,5
1.0,2,908763136,4,0,5
1.0,3,908763136,4,0,5
1.0,4,908763136,4,0,5
1.0,5,908763136,4,0,5
,6,908763136,4,0,5
,7,908763136,4,0,5
,8,908763136,4,0,5
,9,908763136,4,0,5
,10,908763136,4,0,5
0.0,0,123691008,4,0,3
1.0,1,123691008,4,0,3
2.0,2,123691008,4,0,3
3.0,3,123691008,4,0,3
6.0,4,123691008,4,0,3
10.0,5,123691008,4,0,3
30.0,6,123691008,4,0,3
57.0,7,123691008,4,0,3
154.0,8,123691008,4,0,3
,9,123691008,4,0,3
,10,123691008,4,0,3
0.0,0,1311629312,4,0,6
1.0,1,1311629312,4,0,6
1.0,2,1311629312,4,0,6
2.0,3,1311629312,4,0,6
6.0,4,1311629312,4,0,6
105.0,5,1311629312,4,0,6
,6,1311629312,4,0,6
,7,1311629312,4,0,6
,8,1311629312,4,0,6
,9,1311629312,4,0,6
,10,1311629312,4,0,6
0.0,0,2646435840,4,0,7
1.0,1,2646435840,4,0,7
1.0,2,2646435840,4,0,7
2.0,3,2646435840,4,0,7
8.0,4,2646435840,4,0,7
41.0,5,2646435840,4,0,7
754.0,6,2646435840,4,0,7
,7,2646435840,4,0,7
,8,2646435840,4,0,7
,9,2646435840,4,0,7
,10,2646435840,4,0,7
0.0,0,6650740736,4,0,8
1.0,1,6650740736,4,0,8
3.0,2,6650740736,4,0,8
20.0,3,6650740736,4,0,8
131.0,4,6650740736,4,0,8
,5,6650740736,4,0,8
,6,6650740736,4,0,8
,7,6650740736,4,0,8
,8,6650740736,4,0,8
,9,6650740736,4,0,8
,10,6650740736,4,0,8
0.0,0,11586560000,4,0,9
1.0,1,11586560000,4,0,9
1.0,2,11586560000,4,0,9
15.0,3,11586560000,4,0,9
398.0,4,11586560000,4,0,9
,5,11586560000,4,0,9
,6,11586560000,4,0,9
,7,11586560000,4,0,9
,8,11586560000,4,0,9
,9,11586560000,4,0,9
,10,11586560000,4,0,9
